Metal,Substrate,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean SpaceGroupNumber,Me_MagpieData mean GSmagmom,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Sn0.98Ti0.02,Al2O3,139.42,1.9516,9.84,142.06,4.51E-07,406.268,3.2,1173,77
Sn0.98Ti0.02,Al2O3,139.42,1.9516,9.84,142.06,4.51E-07,406.268,3.2,1273,77
Sn0.95Ti0.05,Al2O3,140.05,1.939,9.6,143.65,1.13E-06,406.268,3.2,973,83
Sn0.95Ti0.05,Al2O3,140.05,1.939,9.6,143.65,1.13E-06,406.268,3.2,1073,59
Sn0.95Ti0.05,Al2O3,140.05,1.939,9.6,143.65,1.13E-06,406.268,3.2,1173,50
Sn0.95Ti0.05,Al2O3,140.05,1.939,9.6,143.65,1.13E-06,406.268,3.2,1273,49
Al,Ti1O2,121,1.61,0,225,0,683.5333333,1.333333333,973,148
Al,Ti1O2,121,1.61,0,225,0,683.5333333,1.333333333,1073,127
Al,Ti1O2,121,1.61,0,225,0,683.5333333,1.333333333,1173,91
Al,Ti1O2,121,1.61,0,225,0,683.5333333,1.333333333,1273,85
Fe,Al2O3,132,1.83,6,229,2.1106628,406.268,3.2,1823,132
Fe,Al2O3,132,1.83,6,229,2.1106628,406.268,3.2,1838,133
Fe,Al2O3,132,1.83,6,229,2.1106628,406.268,3.2,1848,134
Fe,Al2O3,132,1.83,6,229,2.1106628,406.268,3.2,1858,134
Fe,Al2O3,132,1.83,6,229,2.1106628,406.268,3.2,1873,132
Fe,Al2O3,132,1.83,6,229,2.1106628,406.268,3.2,1823,115
Fe0.84Cr0.16,Al2O3,133.12,1.8028,5.84,229,1.772956752,406.268,3.2,1823,155
Fe0.84Cr0.16,Al2O3,133.12,1.8028,5.84,229,1.772956752,406.268,3.2,1823,148
Fe0.68Cr0.32,Al2O3,134.24,1.7756,5.68,229,1.435250704,406.268,3.2,1823,147
Fe0.68Cr0.32,Al2O3,134.24,1.7756,5.68,229,1.435250704,406.268,3.2,1823,143
Fe0.68Cr0.32,Al2O3,134.24,1.7756,5.68,229,1.435250704,406.268,3.2,1823,140
Fe,Al2O3,132,1.83,6,229,2.1106628,406.268,3.2,1823,119
Fe0.88Cr0.12,Al2O3,132.84,1.8096,5.88,229,1.857383264,406.268,3.2,1823,118
Fe0.83Cr0.17,Al2O3,133.19,1.8011,5.83,229,1.751850124,406.268,3.2,1823,117
Fe0.8Cr0.2,Al2O3,133.4,1.796,5.8,229,1.68853024,406.268,3.2,1823,110
Fe0.78Cr0.22,Al2O3,133.54,1.7926,5.78,229,1.646316984,406.268,3.2,1823,114
Fe0.88Cr0.12,Mg1O1,132.84,1.8096,5.88,229,1.857383264,488.9,1,1823,102
Fe0.83Cr0.17,Mg1O1,133.19,1.8011,5.83,229,1.751850124,488.9,1,1823,114
Fe0.8Cr0.2,Mg1O1,133.4,1.796,5.8,229,1.68853024,488.9,1,1823,102
Fe0.78Cr0.22,Mg1O1,133.54,1.7926,5.78,229,1.646316984,488.9,1,1823,102
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,121
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,118
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,110
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,99
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,94
